iter	RMSE
462	77.12286899
463	77.05924672
464	76.71257865
465	76.64328858
466	76.58777217
467	76.51233672
468	76.4309183
469	76.35620768
470	76.28845661
471	76.18605322
472	76.03663511
473	75.64074409
474	75.57207575
475	75.49955887
476	75.43209312
477	75.30140495
478	75.22576069
479	75.11302725
480	74.96329401
481	74.70743837
482	74.53248381
483	74.46676953
484	74.31962575
485	74.19179348
486	74.06280211
487	73.79894777
488	73.74495344
489	73.60335096
490	73.33056156
491	73.23397992
492	73.04002902
493	72.96727502
494	72.90941179
495	72.83646341
496	72.76603837
497	72.70979682
498	72.52571379
499	72.45533335
500	72.38739899
501	72.27079387
502	72.11004494
503	72.05187972
504	71.74845256
505	71.67885278
506	71.48968929
507	71.43182215
508	71.22982403
509	71.15889263
510	70.92411332
511	70.73374793
512	70.66519519
513	70.60899399
514	70.52328158
515	70.45702845
516	70.38021033
517	70.31351351
518	70.24686845
519	70.20133002
520	70.1434123
521	70.08261006
522	70.01694152
523	69.95816541
524	69.9027517
525	69.84294243
526	69.69517177
527	69.47935518
528	69.41355405
529	69.31832945
530	69.25488722
531	68.89377371
532	68.81805706
533	68.75352255
534	68.69699617
535	68.62678883
536	68.19815182
537	68.1296194
538	67.82638687
539	67.76257606
540	67.667917
541	67.56931505
542	67.44838138
543	67.38933961
544	67.23945468
545	67.18604727
546	67.12940188
547	66.89650121
548	66.67224501
549	66.61673582
550	66.55593947
551	66.20411932
552	66.1431204
553	66.02388107
554	65.82040082
555	65.66888051
556	65.60797489
557	65.52439117
558	65.43289404
559	65.37531139
560	65.31631459
561	65.10844243
562	65.0472313
563	64.94310201
564	64.88168909
565	64.83320477
566	64.77947028
567	64.71803713
568	64.62560553
569	64.55898547
570	64.49539699
571	64.44988335
572	64.38853859
573	64.33511729
574	64.17133156
575	64.11494159
576	64.0297108
577	63.88045521
578	63.71492254
579	63.66465384
580	63.50101982
581	63.44471356
582	63.3875227
583	63.33710491
584	63.20044535
585	63.1519514
586	63.0807047
587	63.03668671
588	62.99014787
589	62.84041766
590	62.78814914
591	62.63887337
592	62.59055269
593	62.30648229
594	62.25215382
595	62.19933811
596	62.08629895
597	62.02525796
598	61.97907673
599	61.67002033
600	61.62213501
601	61.38899682
602	61.34146191
603	61.2948102
604	61.21735133
605	61.00383077
606	60.95710655
607	60.81587999
608	60.68668081
609	60.43132999
610	60.27041549
611	60.2195471
612	60.12167907
613	60.01849312
614	59.97318976
615	59.81067726
616	59.75831982
617	59.71742222
618	59.66731627
619	59.62015774
620	59.56921011
621	59.51161023
622	59.39093459
623	59.28137226
624	59.24823378
625	59.11176598
626	59.06079353
627	58.9147373
628	58.87464986
629	58.7827602
630	58.73246389
631	58.58028271
632	58.53758096
633	58.48877249
634	58.44049643
635	58.40059628
636	58.1280097
637	57.89139274
638	57.84528518
639	57.7990529
640	57.76766658
641	57.71917758
642	57.6710904
643	57.62573143
644	57.52899915
645	57.13692963
646	57.09518633
647	57.05521908
648	56.86022517
649	56.68447851
650	56.61998692
651	56.57849543
652	56.51218899
653	56.40970841
654	56.36568913
655	56.28548889
656	56.18624266
657	56.13835482
658	56.05101358
659	55.86563508
660	55.82187704
661	55.78047954
662	55.72440167
663	55.67940569
664	55.6312202
665	55.60569522
666	55.57209129
667	55.45870288
668	55.42248835
669	55.38804827
670	55.26053666
671	55.22007266
672	55.18417137
673	55.14277206
674	55.10742106
675	55.0693995
676	54.95898835
677	54.82783681
678	54.79872626
679	54.76050409
680	54.71788331
681	54.64452384
682	54.5666346
683	54.5263018
684	54.49405309
685	54.39747704
686	54.24959415
687	54.21715266
688	53.9415858
689	53.9090909
690	53.86411605
691	53.82835674
692	53.75996038
693	53.69059914
694	53.53645697
695	53.44023898
696	53.40208354
697	53.36625925
698	53.14317935
699	53.10468271
